node,centrality,community,density,betwness,closeness,eign,volatility,type,name
3094,1,0,0.08864864864864865,0.0,0.1321174304634367,1.432599229629938e-06,2,outgoing,Justin Talbot
3968,2,0,0.08864864864864865,0.0,0.1608489480794471,1.677583242342789e-05,2,outgoing,Mengdie Hu
3325,2,0,0.08864864864864865,0.0,0.1608489480794471,1.677583242342789e-05,2,outgoing,Krist Wongsuphasawat
4271,2,0,0.08864864864864865,0.0,0.15511584580508958,1.1147386269140444e-05,2,outgoing,Narges Mahyar
2844,2,0,0.08864864864864865,0.0,0.1574702264434105,1.1922537965614898e-05,2,outandin,Johanna Fulda
1693,3,0,0.08864864864864865,0.0,0.18079551904868926,9.576307314023173e-05,2,outandin,Eun Kyoung Choe
2109,3,0,0.08864864864864865,0.0,0.14566538810654706,1.314470138623656e-05,1,incoming,Haekyu Park
746,3,0,0.08864864864864865,0.0,0.14566538810654706,1.314470138623656e-05,2,outandin,Caleb Robinson
4241,3,0,0.08864864864864865,0.0,0.17624340981737083,6.47583061705947e-05,2,outandin,Nadir Weibel
4660,3,0,0.08864864864864865,0.0,0.14566538810654706,8.100933056528891e-06,2,outandin,Pierre Y. Andrews
62,3,0,0.08864864864864865,0.0,0.14566538810654706,8.100933056528891e-06,2,outandin,Aditya Kalro
3452,3,0,0.08864864864864865,0.0,0.17557763688817254,7.031117239444133e-05,2,outandin,Leslie M. Blaha
5107,3,0,0.08864864864864865,0.0,0.15689613839129432,2.5652634835752605e-05,2,outandin,Ryan Russell
2560,3,0,0.08864864864864865,0.0,0.15689613839129432,2.5652634835752605e-05,1,incoming,Jane Hoffswell
2818,3,0,0.08864864864864865,0.0,0.15749156965653643,1.272633200158658e-05,2,outandin,Jocelyn Ng
3276,3,0,0.08864864864864865,0.0,0.15749156965653643,1.272633200158658e-05,2,outandin,Kevin Tate
1461,4,0,0.08864864864864865,0.0,0.17560417121443644,7.374603059620796e-05,2,outandin,Dongjin Choi
500,4,0,0.08864864864864865,0.0,0.17560417121443644,7.374603059620796e-05,2,outandin,Barry L. Drake
4346,4,0,0.08864864864864865,0.0,0.14723426266167333,9.341699669836729e-06,2,outandin,Nikhil Thorat
6565,4,0,0.08864864864864865,0.0,0.1479843098479274,2.0835914027682476e-05,2,outandin,Zhiyuan Wang
302,4,0,0.08864864864864865,0.0,0.1479843098479274,2.0835914027682476e-05,4,outandin,Andrew T. Wilson
4574,4,0,0.08864864864864865,0.0,0.1456836510689476,8.687417028350322e-06,2,outandin,Peter J. Polack Jr.
5286,4,0,0.08864864864864865,0.0,0.1456836510689476,8.687417028350322e-06,2,outandin,Shang-Tse Chen
4221,4,0,0.08864864864864865,0.0,0.1456836510689476,8.687417028350322e-06,2,outandin,Moushumi Sharmin
3622,5,0,0.08864864864864865,0.0,0.12859371413522863,2.7041455476470936e-06,2,outandin,Mahima Pushkarna
5822,5,0,0.08864864864864865,0.0,0.12859371413522863,2.7041455476470936e-06,2,outandin,Tolga Bolukbasi
6607,5,0,0.08864864864864865,0.0,0.14570191861140136,1.556469253682983e-05,2,outandin,Ángel Alexander Cabrera
6064,5,0,0.08864864864864865,0.0,0.14570191861140136,1.556469253682983e-05,2,outandin,Will Epperson
2541,5,0,0.08864864864864865,0.0,0.14570191861140136,1.556469253682983e-05,2,outandin,Jamie Morgenstern
173,5,0,0.08864864864864865,0.0018927524271532196,0.17987195060772848,7.164970810431206e-05,1,,Ali Sarvghad
3576,5,0,0.08864864864864865,3.285017549879548e-05,0.17759021869569402,8.031654011694876e-05,4,outandin,Lyndsey Franklin
5560,5,0,0.08864864864864865,0.0,0.17563071356195978,8.147117941959297e-05,1,incoming,Subhajit Das 0002
4828,5,0,0.08864864864864865,0.0,0.17563071356195978,8.147117941959297e-05,2,outandin,Ravish Chawla
584,5,0,0.08864864864864865,0.0,0.17563071356195978,8.147117941959297e-05,2,outandin,Bharath Kalidindi
2822,5,0,0.08864864864864865,0.0,0.1574488890143531,2.2634113581531903e-05,4,outandin,Jock D. Mackinlay
850,6,0,0.08864864864864865,0.0,0.15695971915789894,2.3423340472908726e-05,2,outandin,Chenglong Wang
2017,6,0,0.08864864864864865,0.0,0.15695971915789894,2.3423340472908726e-05,2,outandin,Greg L. Nelson
2134,6,0,0.08864864864864865,0.0,0.15695971915789894,2.3423340472908726e-05,2,outandin,Halden Lin
49,6,0,0.08864864864864865,0.0,0.15695971915789894,2.3423340472908726e-05,2,outandin,Adam M. Smith 0001
3948,6,0,0.08864864864864865,0.0,0.18040254633223504,0.00010046967731697395,2,outandin,Meeshu Agnihotri
5644,6,0,0.08864864864864865,0.0004973162264316406,0.16131789544994113,2.0603405971651762e-05,1,,Tamara Munzner
398,6,0,0.08864864864864865,0.0009489802483433054,0.1574702264434105,2.271911441174743e-05,2,outgoing,Anushka Anand
2924,7,0,0.08864864864864865,0.0,0.18660234477692725,0.00013743831661590443,2,outandin,John Thompson 0002
484,7,0,0.08864864864864865,0.00023265197083074436,0.17978845751600275,8.970941674786528e-05,2,outgoing,Bahador Saket
2110,7,0,0.08864864864864865,0.00012644304784405354,0.18544091939449822,0.00010942022359480495,2,outgoing,Haesun Park
4984,7,0,0.08864864864864865,0.0,0.1762968898385565,8.950451870300774e-05,2,outandin,Robert S. Pienta
35,7,0,0.08864864864864865,0.0,0.1762968898385565,8.950451870300774e-05,2,outandin,Acar Tamersoy
